"Country","Health Care","Income","Inflation","Life Expectancy"
"Afghanistan",7.58,1610.0,9.44,56.2
"Albania",6.55,9930.0,4.49,76.3
"Angola",2.85,5900.0,22.4,60.1
"Armenia",4.4,6700.0,7.77,73.3
"Bangladesh",3.52,2440.0,7.14,70.4
"Belize",5.2,7880.0,1.14,71.4
"Benin",4.1,1820.0,0.885,61.8
"Bhutan",5.2,6420.0,5.99,72.1
"Bolivia",4.84,5410.0,8.78,71.6
"Bosnia and Herzegovina",11.1,9720.0,1.4,76.8
"Burkina Faso",6.74,1430.0,6.81,57.9
"Burundi",11.6,764.0,12.3,57.7
"Cambodia",5.68,2520.0,3.12,66.1
"Cameroon",5.13,2660.0,1.91,57.3
"Cape Verde",4.09,5830.0,0.505,72.5
"Central African Republic",3.98,888.0,2.01,47.5
"Chad",4.53,1930.0,6.39,56.5
"China",5.07,9530.0,6.94,74.6
"Comoros",4.51,1410.0,3.87,65.9
"Congo, Dem. Rep.",7.91,609.0,20.8,57.5
"Congo, Rep.",2.46,5190.0,20.7,60.4
"Cote d'Ivoire",5.3,2690.0,5.39,56.3
"Ecuador",8.06,9350.0,7.47,76.7
"Egypt",4.66,9860.0,10.1,70.5
"El Salvador",6.91,7300.0,2.65,74.1
"Eritrea",2.66,1420.0,11.6,61.7
"Fiji",4.86,7350.0,4.23,65.3
"Gambia",5.69,1660.0,4.3,65.5
"Georgia",10.1,6730.0,8.55,72.8
"Ghana",5.22,3060.0,16.6,62.2
"Guatemala",6.85,6710.0,5.14,71.3
"Guinea",4.93,1190.0,16.1,58.0
"Guinea-Bissau",8.5,1390.0,2.97,55.6
"Guyana",5.38,5840.0,5.73,65.5
"Haiti",6.91,1500.0,5.45,32.1
"India",4.05,4410.0,8.98,66.2
"Indonesia",2.61,8430.0,15.3,69.9
"Jamaica",4.81,8000.0,9.81,74.7
"Jordan",8.04,9470.0,8.43,75.8
"Kenya",4.75,2480.0,2.09,62.8
"Kiribati",11.3,1730.0,1.52,60.7
"Kyrgyz Republic",6.18,2790.0,10.0,68.5
"Lao",4.47,3980.0,9.2,63.8
"Lesotho",11.1,2380.0,4.15,46.5
"Liberia",11.8,700.0,5.47,60.8
"Madagascar",3.77,1390.0,8.79,60.8
"Malawi",6.59,1030.0,12.1,53.1
"Mali",4.98,1870.0,4.37,59.5
"Mauritania",4.41,3320.0,18.9,68.2
"Micronesia, Fed. Sts.",14.2,3340.0,3.8,65.4
"Moldova",11.7,3910.0,11.1,69.7
"Mongolia",5.44,7710.0,39.2,66.2
"Morocco",5.2,6440.0,0.976,73.5
"Mozambique",5.21,918.0,7.64,54.5
"Myanmar",1.97,3720.0,7.04,66.8
"Namibia",6.78,8460.0,3.56,58.6
"Nepal",5.25,1990.0,15.1,68.3
"Niger",5.16,814.0,2.55,58.8
"Nigeria",5.07,5150.0,104.0,60.5
"Pakistan",2.2,4280.0,10.9,65.3
"Paraguay",5.87,7290.0,6.1,74.1
"Peru",5.08,9960.0,5.71,77.9
"Philippines",3.61,5600.0,4.22,69.0
"Rwanda",10.5,1350.0,2.61,64.6
"Samoa",6.47,5400.0,1.72,71.5
"Senegal",5.66,2180.0,1.85,64.0
"Sierra Leone",13.1,1220.0,17.2,55.0
"Solomon Islands",8.55,1780.0,6.81,61.7
"Sri Lanka",2.94,8560.0,22.8,74.4
"St. Vincent and the Grenadines",4.47,9920.0,4.44,71.6
"Sudan",6.32,3370.0,19.6,66.3
"Tajikistan",5.98,2110.0,12.5,69.6
"Tanzania",6.01,2090.0,9.25,59.3
"Timor-Leste",9.12,1850.0,26.5,71.1
"Togo",7.65,1210.0,1.18,58.7
"Tonga",5.07,4980.0,3.68,69.9
"Turkmenistan",2.5,9940.0,2.31,67.9
"Uganda",9.01,1540.0,10.6,56.8
"Ukraine",7.72,7820.0,13.4,70.4
"Uzbekistan",5.81,4240.0,16.5,68.8
"Vanuatu",5.25,2950.0,2.62,63.0
"Vietnam",6.84,4490.0,12.1,73.1
"Yemen",5.18,4480.0,23.6,67.5
"Zambia",5.89,3280.0,14.0,52.0
